release_date,title,artist,ranking,certification,streams,image,spotify,apple
2025-12-21,...And Then There Was X,DMX,#1,Platinum,"563,044,287",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/...And%20Then%20There%20Was%20X.jpg,https://open.spotify.com/album/62l3f8u6j9eyDhuxsZA2iH,https://music.apple.com/us/album/and-then-there-was-x/1436069035
2025-12-21,World Party,Goodie Mob,#48,Gold,"2,897,136",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/World%20Party.jpg,https://open.spotify.com/track/5qVtDR6F0Z6uz9q0z3FWB1,https://music.apple.com/us/album/world-party/298512408
2025-12-21,Still I Rise,2Pac + Outlawz,#7,Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Still%20I%20Rise.jpg,https://open.spotify.com/album/79fKra4fmUcktHD2BlUk8e,https://music.apple.com/us/album/still-i-rise/1440866955
2025-12-21,Relapse: Refill,Eminem,#1,4× Platinum,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Relapse_%20Refill.jpg,https://open.spotify.com/album/7MZzYkbHL9Tk3O6WeD4Z0Z,https://music.apple.com/us/album/relapse-refill/1440774246
2025-12-21,Unleashed,Hurricane Chris,,,"125,026",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Unleashed.jog.webp,https://open.spotify.com/album/4tX8assGk2HIZB1Hh2a5la,https://music.apple.com/us/album/unleashed/342858078
2025-12-21,We Are Young Money,Young Money Entertainment,#9,Gold,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Young_Money_-_We_Are_Young_Money.png,https://open.spotify.com/album/0hDy52fqKwb2ZIjyNXGxan,https://music.apple.com/us/album/we-are-young-money/1440738483
2025-12-21,Enter The Dubstep Volume 2,Brand Nubian,,,"1,579,154",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Enter%20The%20Dubstep%20Volume%202.jpg,,https://music.apple.com/us/album/enter-the-dubstep-vol-2/1226608435
2025-12-21,Death of a Pop Star,David Banner & 9th Wonder,,,"99,135,230",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Death%20of%20a%20Pop%20Star.jpg,,https://music.apple.com/us/album/death-of-a-pop-star/407015980
2025-12-21,Chronicles Of A Pimp,Dru Down,,,,https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/Chronicles%20Of%20A%20Pimp.jpg,https://open.spotify.com/album/79YqB8MKEqPYBDVzmTFkjv,https://music.apple.com/us/album/chronicles-of-a-pimp/400773396
2025-12-21,Apollo Kids,Ghostface Killah,#128,,"1,849,639,399",https://eqwromenzktewzvimljl.supabase.co/storage/v1/object/public/music_app/December%20Album/December_21/The_Apollo_Kids.png,https://open.spotify.com/album/3hPl7uRfNdRvoRW0kUzkVk,https://music.apple.com/us/album/apollo-kids-feat-raekwon/190401592?i=190402212
